compilation_file,flag
/ -c cli_client.c -o cli_client.o,O2
/ -c cli_qos.c -o cli_qos.o,O2
/ -c cli_rdma.c -o cli_rdma.o,O2
/ -c counter_tool.c -o counter_tool.o,O2
/ -c pim.c -o pim.o,O2
/ -c pim_vfio.c -o pim_vfio.o,O2
/ cli_qos.c cli_rdma.c cli_client.c,O2
/ counter_tool.o,O2
/ counter_tool.o,relro
/ pim_vfio.o pim.o,O2
/ pim_vfio.o pim.o,relro
/.lzmadec.o,PIE
/.LzmaDec.o,PIE
/.LzmaDec.o,fstack-protector-strong
/.LzmaTools.o,PIE
/.LzmaTools.o,fstack-protector-strong
/.abuf.o,PIE
/.abuf.o,fstack-protector-strong
/.addgroup.o,D_FORTIFY_SOURCE=2
/.addgroup.o,O2
/.addgroup.o,fstack-protector-strong
/.adduser.o,D_FORTIFY_SOURCE=2
/.adduser.o,O2
/.adduser.o,fstack-protector-strong
/.aes-decrypt.o,O2
/.aes-encrypt.o,O2
/.aisimage.o,O2
/.appletlib.o,D_FORTIFY_SOURCE=2
/.appletlib.o,O2
/.appletlib.o,fstack-protector-strong
/.applets.o,D_FORTIFY_SOURCE=2
/.applets.o,O2
/.applets.o,fstack-protector-strong
/.arp.o,PIE
/.arp.o,fstack-protector-strong
/.arpping.o,D_FORTIFY_SOURCE=2
/.arpping.o,O2
/.arpping.o,fstack-protector-strong
/.ash.o,D_FORTIFY_SOURCE=2
/.ash.o,O2
/.ash.o,fstack-protector-strong
/.ash_ptr_hack.o,D_FORTIFY_SOURCE=2
/.ash_ptr_hack.o,O2
/.ash_ptr_hack.o,fstack-protector-strong
/.ask_confirmation.o,D_FORTIFY_SOURCE=2
/.ask_confirmation.o,O2
/.ask_confirmation.o,fstack-protector-strong
/.atmelimage.o,O2
/.attr.o,PIE
/.attr.o,fstack-protector-strong
/.auto_string.o,D_FORTIFY_SOURCE=2
/.auto_string.o,O2
/.auto_string.o,fstack-protector-strong
/.autoboot.o,PIE
/.autoboot.o,fstack-protector-strong
/.awk.o,D_FORTIFY_SOURCE=2
/.awk.o,O2
/.awk.o,fstack-protector-strong
/.basename.o,D_FORTIFY_SOURCE=2
/.basename.o,O2
/.basename.o,fstack-protector-strong
/.bb_askpass.o,D_FORTIFY_SOURCE=2
/.bb_askpass.o,O2
/.bb_askpass.o,fstack-protector-strong
/.bb_bswap_64.o,D_FORTIFY_SOURCE=2
/.bb_bswap_64.o,O2
/.bb_bswap_64.o,fstack-protector-strong
/.bb_cat.o,D_FORTIFY_SOURCE=2
/.bb_cat.o,O2
/.bb_cat.o,fstack-protector-strong
/.bb_do_delay.o,D_FORTIFY_SOURCE=2
/.bb_do_delay.o,O2
/.bb_do_delay.o,fstack-protector-strong
/.bb_getgroups.o,D_FORTIFY_SOURCE=2
/.bb_getgroups.o,O2
/.bb_getgroups.o,fstack-protector-strong
/.bb_getsockname.o,D_FORTIFY_SOURCE=2
/.bb_getsockname.o,O2
/.bb_getsockname.o,fstack-protector-strong
/.bb_pwd.o,D_FORTIFY_SOURCE=2
/.bb_pwd.o,O2
/.bb_pwd.o,fstack-protector-strong
/.bb_qsort.o,D_FORTIFY_SOURCE=2
/.bb_qsort.o,O2
/.bb_qsort.o,fstack-protector-strong
/.bb_strtonum.o,D_FORTIFY_SOURCE=2
/.bb_strtonum.o,O2
/.bb_strtonum.o,fstack-protector-strong
/.bbunzip.o,D_FORTIFY_SOURCE=2
/.bbunzip.o,O2
/.bbunzip.o,fstack-protector-strong
/.bc.o,D_FORTIFY_SOURCE=2
/.bc.o,O2
/.bc.o,fstack-protector-strong
/.bdinfo.o,PIE
/.bdinfo.o,fstack-protector-strong
/.blk-uclass.o,PIE
/.blk-uclass.o,fstack-protector-strong
/.blk_common.o,PIE
/.blk_common.o,fstack-protector-strong
/.blkcache.o,PIE
/.blkcache.o,fstack-protector-strong
/.blkid.o,D_FORTIFY_SOURCE=2
/.blkid.o,O2
/.blkid.o,fstack-protector-strong
/.board_f.o,PIE
