compilation_file,flag
/ -c cli_qos.c -o cli_qos.o,O2
/ -c cli_rdma.c -o cli_rdma.o,O2
/ -c counter_tool.c -o counter_tool.o,O2
/ -c pim.c -o pim.o,O2
/ -c pim_vfio.c -o pim_vfio.o,O2
/ cli_qos.c cli_rdma.c cli_client.c,O2
/ counter_tool.o,O2
/ counter_tool.o,relro
/ pim_vfio.o pim.o,O2
/ pim_vfio.o pim.o,relro
/.LzmaDec.o,PIE
/.LzmaTools.o,PIE
/.abuf.o,PIE
/.addgroup.o,D_FORTIFY_SOURCE=2
/.addgroup.o,O2
/.addgroup.o,fstack-protector-strong
/.adduser.o,D_FORTIFY_SOURCE=2
/.adduser.o,O2
/.adduser.o,fstack-protector-strong
/.aes-decrypt.o,O2
/.aes-encrypt.o,O2
/.aisimage.o,O2
/.appletlib.o,D_FORTIFY_SOURCE=2
/.appletlib.o,O2
/.appletlib.o,fstack-protector-strong
/.applets.o,D_FORTIFY_SOURCE=2
/.applets.o,O2
/.applets.o,fstack-protector-strong
/.arp.o,PIE
/.arpping.o,D_FORTIFY_SOURCE=2
/.arpping.o,O2
/.arpping.o,fstack-protector-strong
/.ash.o,D_FORTIFY_SOURCE=2
/.ash.o,O2
/.ash.o,fstack-protector-strong
/.ash_ptr_hack.o,D_FORTIFY_SOURCE=2
/.ash_ptr_hack.o,O2
/.ash_ptr_hack.o,fstack-protector-strong
/.ask_confirmation.o,D_FORTIFY_SOURCE=2
/.ask_confirmation.o,O2
/.ask_confirmation.o,fstack-protector-strong
/.atmelimage.o,O2
/.attr.o,PIE
/.auto_string.o,D_FORTIFY_SOURCE=2
/.auto_string.o,O2
/.auto_string.o,fstack-protector-strong
/.autoboot.o,PIE
/.awk.o,D_FORTIFY_SOURCE=2
/.awk.o,O2
/.awk.o,fstack-protector-strong
/.basename.o,D_FORTIFY_SOURCE=2
/.basename.o,O2
/.basename.o,fstack-protector-strong
/.bb_askpass.o,D_FORTIFY_SOURCE=2
/.bb_askpass.o,O2
/.bb_askpass.o,fstack-protector-strong
/.bb_bswap_64.o,D_FORTIFY_SOURCE=2
/.bb_bswap_64.o,O2
/.bb_bswap_64.o,fstack-protector-strong
/.bb_cat.o,D_FORTIFY_SOURCE=2
/.bb_cat.o,O2
/.bb_cat.o,fstack-protector-strong
/.bb_do_delay.o,D_FORTIFY_SOURCE=2
/.bb_do_delay.o,O2
/.bb_do_delay.o,fstack-protector-strong
/.bb_getgroups.o,D_FORTIFY_SOURCE=2
/.bb_getgroups.o,O2
/.bb_getgroups.o,fstack-protector-strong
/.bb_getsockname.o,D_FORTIFY_SOURCE=2
/.bb_getsockname.o,O2
/.bb_getsockname.o,fstack-protector-strong
/.bb_pwd.o,D_FORTIFY_SOURCE=2
/.bb_pwd.o,O2
/.bb_pwd.o,fstack-protector-strong
/.bb_qsort.o,D_FORTIFY_SOURCE=2
/.bb_qsort.o,O2
/.bb_qsort.o,fstack-protector-strong
/.bb_strtonum.o,D_FORTIFY_SOURCE=2
/.bb_strtonum.o,O2
/.bb_strtonum.o,fstack-protector-strong
/.bbunzip.o,D_FORTIFY_SOURCE=2
/.bbunzip.o,O2
/.bbunzip.o,fstack-protector-strong
/.bc.o,D_FORTIFY_SOURCE=2
/.bc.o,O2
/.bc.o,fstack-protector-strong
/.bdinfo.o,PIE
/.blk-uclass.o,PIE
/.blk_common.o,PIE
/.blkcache.o,PIE
/.blkcache.o,PIE
/.blkid.o,D_FORTIFY_SOURCE=2
/.blkid.o,O2
/.blkid.o,fstack-protector-strong
/.board_f.o,PIE
/.board_info.o,PIE
/.board_init.o,PIE
/.board_r.o,PIE
/.boot.o,PIE
/.boot_fit.o,PIE
/.boot_fit.o,PIE
/.bootefi.o,PIE
/.booti.o,PIE
/.bootm-fdt.o,PIE
/.bootm.o,O2
/.bootm.o,PIE
/.bootm.o,PIE
/.bootm.o,PIE
/.bootm_os.o,PIE
/.bootp.o,PIE
/.btrfs.o,D_FORTIFY_SOURCE=2
/.btrfs.o,O2
/.btrfs.o,fstack-protector-strong
/.busybox_unstripped.c,D_FORTIFY_SOURCE=2
/.busybox_unstripped.c,O2
/.busybox_unstripped.c,fstack-protector-strong
/.busybox_unstripped.c,relro
/.bzip2.o,D_FORTIFY_SOURCE=2
/.bzip2.o,O2
/.bzip2.o,fstack-protector-strong
/.cache.o,PIE
/.cache.o,PIE
/.cache_v8.o,PIE
/.callback.o,PIE
/.cat.o,D_FORTIFY_SOURCE=2
/.cat.o,O2
/.cat.o,fstack-protector-strong
/.change_identity.o,D_FORTIFY_SOURCE=2
/.change_identity.o,O2
/.change_identity.o,fstack-protector-strong
/.charset.o,PIE
/.chattr.o,D_FORTIFY_SOURCE=2
/.chattr.o,O2
/.chattr.o,fstack-protector-strong
/.checks.o,O2
/.checksum.o,PIE
/.chgrp.o,D_FORTIFY_SOURCE=2
/.chgrp.o,O2
/.chgrp.o,fstack-protector-strong
/.chmod.o,D_FORTIFY_SOURCE=2
/.chmod.o,O2
/.chmod.o,fstack-protector-strong
/.chomp.o,D_FORTIFY_SOURCE=2
/.chomp.o,O2
/.chomp.o,fstack-protector-strong
/.chown.o,D_FORTIFY_SOURCE=2
/.chown.o,O2
/.chown.o,fstack-protector-strong
/.chroot.o,D_FORTIFY_SOURCE=2
/.chroot.o,O2
/.chroot.o,fstack-protector-strong
/.chvt.o,D_FORTIFY_SOURCE=2
/.chvt.o,O2
/.chvt.o,fstack-protector-strong
/.clear.o,D_FORTIFY_SOURCE=2
/.clear.o,O2
/.clear.o,fstack-protector-strong
/.cli.o,PIE
/.cli_hush.o,PIE
/.cli_readline.o,PIE
/.cli_simple.o,PIE
